#Data Set Export - Discharge.Best Available@08461300,
Timestamp (UTC-06:00),Value (m^3/s)
2026-03-29 00:00:00,34.33539040356796
2026-03-29 00:15:00,34.69832587764047
2026-03-29 00:30:00,34.33539295574575
2026-03-29 00:45:00,34.45613186974764
2026-03-29 01:00:00,34.4561329657143
2026-03-29 01:15:00,34.57711136714147
2026-03-29 01:30:00,34.698329545380396
2026-03-29 01:45:00,34.819787609575705
2026-03-29 02:00:00,34.81978816082629
2026-03-29 02:15:00,34.94148603697993
2026-03-29 02:30:00,34.81978926332749
2026-03-29 02:45:00,35.1856022075595
2026-03-29 03:00:00,34.941487141661305
2026-03-29 03:15:00,35.0634245697265
2026-03-29 03:30:00,35.1856022075595
2026-03-29 03:45:00,35.1856022075595
2026-03-29 04:00:00,35.1856022075595
2026-03-29 04:15:00,35.1856022075595
2026-03-29 04:30:00,35.290525311612974
2026-03-29 04:45:00,35.063425676589034
2026-03-29 05:00:00,35.1856022075595
2026-03-29 05:15:00,35.063426045543224
2026-03-29 05:30:00,35.290525311612974
2026-03-29 05:45:00,35.395625344483484
2026-03-29 06:00:00,35.1856022075595
2026-03-29 06:15:00,35.290525311612974
2026-03-29 06:30:00,35.395625344483484
2026-03-29 06:45:00,35.395625344483484
2026-03-29 07:00:00,35.1856022075595
2026-03-29 07:15:00,35.5009023758624
2026-03-29 07:30:00,35.5009023758624
2026-03-29 07:45:00,35.60635647537876
2026-03-29 08:00:00,35.395625344483484
2026-03-29 08:15:00,35.395625344483484
2026-03-29 08:30:00,35.290525311612974
2026-03-29 08:45:00,35.395625344483484
2026-03-29 09:00:00,34.94149597911291
2026-03-29 09:15:00,34.819804147095596
2026-03-29 09:30:00,34.94149671556726
2026-03-29 09:45:00,35.06342936613099
2026-03-29 10:00:00,35.1856022075595
2026-03-29 10:15:00,35.0634297350852
2026-03-29 10:30:00,35.1856022075595
2026-03-29 10:45:00,35.395625344483484
2026-03-29 11:00:00,35.8177961570287
2026-03-29 11:15:00,35.8177961570287
2026-03-29 11:30:00,36.242803394761545
2026-03-29 11:45:00,36.45637205945941
2026-03-29 12:00:00,36.778057918986846
2026-03-29 12:15:00,36.778057918986846
2026-03-29 12:30:00,36.45637205945941
2026-03-29 12:45:00,36.02994494522295
2026-03-29 13:00:00,35.7119877125993
2026-03-29 13:15:00,35.60635647537876
2026-03-29 13:30:00,35.1856022075595
2026-03-29 13:45:00,35.1856022075595
2026-03-29 14:00:00,35.1856022075595
2026-03-29 14:15:00,34.94150371188412
2026-03-29 14:30:00,34.81981572336214
2026-03-29 14:45:00,34.819816274613
2026-03-29 15:00:00,34.81981682586384
2026-03-29 15:15:00,34.57716261387563
2026-03-29 15:30:00,34.57716352899626
2026-03-29 15:45:00,34.45619762778277
2026-03-29 16:00:00,34.577165359237604
2026-03-29 16:15:00,34.456199819718506
2026-03-29 16:30:00,34.33547462549132
2026-03-29 16:45:00,34.214989662857896
2026-03-29 17:00:00,34.45620310762226
2026-03-29 17:15:00,34.214992573836824
2026-03-29 17:30:00,34.21499402932635
2026-03-29 17:45:00,34.09474972049858
2026-03-29 18:00:00,34.335482282035606
2026-03-29 18:15:00,34.33548355812642
2026-03-29 18:30:00,33.97474903758589
2026-03-29 18:45:00,34.21500130677452
2026-03-29 19:00:00,34.094757891323844
2026-03-29 19:15:00,34.21500421775402
2026-03-29 19:30:00,34.21500567324383
2026-03-29 19:45:00,34.094762793819534
2026-03-29 20:00:00,34.21500858422356
2026-03-29 20:15:00,34.21501003971345
2026-03-29 20:30:00,34.094767696315614
2026-03-29 20:45:00,34.09476933048105
2026-03-29 21:00:00,34.09477096464656
2026-03-29 21:15:00,34.21501586167344
2026-03-29 21:30:00,34.45622283504841
2026-03-29 21:45:00,34.45622393101674
2026-03-29 22:00:00,34.21502022814382
2026-03-29 22:15:00,34.335503975582995
2026-03-29 22:30:00,34.094780769640444
2026-03-29 22:45:00,34.335506527765574
2026-03-29 23:00:00,34.335507803856885
2026-03-29 23:15:00,34.335509079948224
2026-03-29 23:30:00,34.33551035603959
2026-03-29 23:45:00,34.4562326987639
2026-03-30 00:00:00,34.33551290822244
2026-03-30 00:15:00,34.21503332755679
2026-03-30 00:30:00,34.57719647334858
2026-03-30 00:45:00,34.94151917742942
2026-03-30 01:00:00,34.94151954565675
