#Data Set Export - Total Storage.Web-Daily-tcm@08461200,
Timestamp (UTC-06:00),Value (m^3)
2025-06-29 00:00:00,375611223.32261676
2025-06-30 00:00:00,376146646.4957966
2025-07-01 00:00:00,376690124.82115185
2025-07-02 00:00:00,377792324.5648915
2025-07-03 00:00:00,378724924.3086316
2025-07-04 00:00:00,379487924.0523716
2025-07-05 00:00:00,380589835.76829153
2025-07-06 00:00:00,381353033.62584126
2025-07-07 00:00:00,382285431.48339397
2025-07-08 00:00:00,382585000
2025-07-09 00:00:00,382839400.00000024
2025-07-10 00:00:00,381738000
2025-07-11 00:00:00,381738000
2025-07-12 00:00:00,381060600.0000005
2025-07-13 00:00:00,381060600.0000005
2025-07-14 00:00:00,381145399.9999995
2025-07-15 00:00:00,381007927.2796437
2025-07-16 00:00:00,381011019.87727183
2025-07-17 00:00:00,380383199.9999995
2025-07-18 00:00:00,386989599.99999976
2025-07-19 00:00:00,397154599.99999976
2025-07-20 00:00:00,401897800.00000024
2025-07-21 00:00:00,402914000
2025-07-22 00:00:00,402993322.32119614
2025-07-23 00:00:00,402092969.245413
2025-07-24 00:00:00,401791915.0317144
2025-07-25 00:00:00,401913922.0662359
2025-07-26 00:00:00,401697529.1007556
2025-07-27 00:00:00,402327751.1143201
2025-07-28 00:00:00,401687743.1697985
2025-07-29 00:00:00,401644000
2025-07-30 00:00:00,401813199.99999976
2025-07-31 00:00:00,401135399.99999976
2025-08-01 00:00:00,400203800.00000024
2025-08-02 00:00:00,398340600.00000024
2025-08-03 00:00:00,395374800.00000024
2025-08-04 00:00:00,392071599.99999976
2025-08-05 00:00:00,390582851.1329852
2025-08-06 00:00:00,387840927.83246255
2025-08-07 00:00:00,385438204.53193927
2025-08-08 00:00:00,384559881.2314183
2025-08-09 00:00:00,382919357.93089414
2025-08-10 00:00:00,381024434.6303729
2025-08-11 00:00:00,379045070.5012415
2025-08-12 00:00:00,376472388.0293274
2025-08-13 00:00:00,374961000
2025-08-14 00:00:00,372504800.0000005
2025-08-15 00:00:00,370895599.99999976
2025-08-16 00:00:00,370387600.00000024
2025-08-17 00:00:00,369201600.0000005
2025-08-18 00:00:00,368609000
2025-08-19 00:00:00,368269799.9999993
2025-08-20 00:00:00,367338000
2025-08-21 00:00:00,365983199.9999995
2025-08-22 00:00:00,365898400.00000024
2025-08-23 00:00:00,364380514.896986
2025-08-24 00:00:00,362106057.36235994
2025-08-25 00:00:00,358868179.03698117
2025-08-26 00:00:00,357660066.7618775
2025-08-27 00:00:00,356251054.0060751
2025-08-28 00:00:00,355312441.25027126
2025-08-29 00:00:00,355000229.9523913
2025-08-30 00:00:00,354688614.1679034
2025-08-31 00:00:00,354219402.98286206
2025-09-01 00:00:00,353514990.2270596
2025-09-02 00:00:00,353437966.81444186
2025-09-03 00:00:00,352729000
2025-09-04 00:00:00,351241400.0000002
2025-09-05 00:00:00,350457399.99999934
2025-09-06 00:00:00,348969800.0000005
2025-09-07 00:00:00,348969800.0000005
2025-09-08 00:00:00,352494400.0000004
2025-09-09 00:00:00,355433712.5748893
2025-09-10 00:00:00,358555239.95654666
2025-09-11 00:00:00,360031367.33820283
2025-09-12 00:00:00,362517641.2276051
2025-09-13 00:00:00,363013244.25750494
2025-09-14 00:00:00,362492822.9103729
2025-09-15 00:00:00,361209884.47404104
2025-09-16 00:00:00,359658004.1659321
2025-09-17 00:00:00,358713574.3141326
2025-09-18 00:00:00,357664502.9125322
2025-09-19 00:00:00,358039322.5082072
2025-09-20 00:00:00,358414258.8430562
2025-09-21 00:00:00,359180636.8083179
2025-09-22 00:00:00,359477383.6134436
2025-09-23 00:00:00,359230200.00000024
2025-09-24 00:00:00,358525600.00000066
2025-09-25 00:00:00,358604000
2025-09-26 00:00:00,362595199.99999976
2025-09-27 00:00:00,374791800.00000024
2025-09-28 00:00:00,378350000
2025-09-29 00:00:00,380128799.9999993
2025-09-30 00:00:00,380556093.8037673
2025-10-01 00:00:00,380343644.0645334
2025-10-02 00:00:00,379874799.9999995
2025-10-03 00:00:00,378858599.9999993
2025-10-04 00:00:00,377503000
2025-10-05 00:00:00,374622599.9999993
2025-10-06 00:00:00,371997000
2025-10-07 00:00:00,370133400.00000024
2025-10-08 00:00:00,369709800.00000024
2025-10-09 00:00:00,368947400.0000007
2025-10-10 00:00:00,369116800.00000024
2025-10-11 00:00:00,369201600.0000005
2025-10-12 00:00:00,368778199.99999976
2025-10-13 00:00:00,367846600.00000024
2025-10-14 00:00:00,367507599.99999976
2025-10-15 00:00:00,367253399.9999995
2025-10-16 00:00:00,365983199.9999995
2025-10-17 00:00:00,364119599.99999976
2025-10-18 00:00:00,363272599.99999976
2025-10-19 00:00:00,362849199.99999976
2025-10-20 00:00:00,362002199.99999976
2025-10-21 00:00:00,359778000
2025-10-22 00:00:00,358447200.00000024
2025-10-23 00:00:00,357350600.00000066
2025-10-24 00:00:00,355471000
2025-10-25 00:00:00,352416200.00000024
2025-10-26 00:00:00,351241400.0000002
2025-10-27 00:00:00,348969800.0000005
2025-10-28 00:00:00,346698199.9999995
2025-10-29 00:00:00,345962838.8054746
2025-10-30 00:00:00,342155000
2025-10-31 00:00:00,339335599.9999998
2025-11-01 00:00:00,338665892.8244797
2025-11-02 00:00:00,337998129.75315773
2025-11-03 00:00:00,335293487.17499304
2025-11-04 00:00:00,332756000
2025-11-05 00:00:00,329857600.00000024
2025-11-06 00:00:00,326881000
2025-11-07 00:00:00,326098000
2025-11-08 00:00:00,326019799.9999996
2025-11-09 00:00:00,325628599.9999998
2025-11-10 00:00:00,325863399.99999976
2025-11-11 00:00:00,323435199.9999993
2025-11-12 00:00:00,321398000
2025-11-13 00:00:00,320506629.39650303
2025-11-14 00:00:00,319854112.28641057
2025-11-15 00:00:00,318476595.17631966
2025-11-16 00:00:00,317462078.0662278
2025-11-17 00:00:00,316230360.9561353
2025-11-18 00:00:00,315020200.0000004
2025-11-19 00:00:00,315527599.9999996
2025-11-20 00:00:00,315963000
2025-11-21 00:00:00,316615399.99999964
2025-11-22 00:00:00,321036000
2025-11-23 00:00:00,327116199.9999995
2025-11-24 00:00:00,333225399.99999934
2025-11-25 00:00:00,338239000
2025-11-26 00:00:00,340510599.9999998
2025-11-27 00:00:00,344494115.4244864
2025-11-28 00:00:00,347767257.9781511
2025-11-29 00:00:00,349552572.76504266
2025-11-30 00:00:00,351573487.55193186
2025-12-01 00:00:00,353749407.97140366
